epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.34291,3.10255,0.05102,0.20408,3.07954,3.753e-05,3.753e-05,3.753e-05
2,7.0988,3.03401,0.07143,0.32653,2.88621,7.84456e-05,7.84456e-05,7.84456e-05
3,10.6024,2.91887,0.19388,0.5102,2.7851,0.000118536,0.000118536,0.000118536
4,13.7369,2.80183,0.39796,0.80612,2.57718,0.0001578,0.0001578,0.0001578
5,16.8428,2.61552,0.65306,0.97959,2.32573,0.000196239,0.000196239,0.000196239
6,19.8419,2.42659,0.79592,0.9898,2.01133,0.000233852,0.000233852,0.000233852
7,23.0475,2.2188,0.86735,1,1.75438,0.000270639,0.000270639,0.000270639
8,26.139,1.98987,0.94898,1,1.50839,0.000306601,0.000306601,0.000306601
9,29.112,1.82415,0.95918,1,1.17069,0.000341737,0.000341737,0.000341737
10,32.5886,1.54196,0.97959,1,0.95622,0.000376047,0.000376047,0.000376047
11,35.8317,1.29239,0.9898,1,0.73992,0.000375717,0.000375717,0.000375717
12,39.0478,1.18232,0.9898,1,0.54635,0.000371589,0.000371589,0.000371589
13,42.1121,0.98977,0.9898,1,0.47343,0.00036746,0.00036746,0.00036746
14,45.2938,0.84559,0.9898,1,0.27574,0.000363332,0.000363332,0.000363332
15,48.3821,0.70845,0.9898,1,0.1704,0.000359204,0.000359204,0.000359204
16,51.7956,0.61656,0.9898,1,0.12823,0.000355076,0.000355076,0.000355076
17,54.946,0.48676,0.9898,1,0.17403,0.000350947,0.000350947,0.000350947
18,58.0658,0.48394,1,1,0.10252,0.000346819,0.000346819,0.000346819
19,61.1701,0.41147,1,1,0.12272,0.000342691,0.000342691,0.000342691
20,64.2687,0.33128,1,1,0.03833,0.000338562,0.000338562,0.000338562
21,67.7127,0.29856,1,1,0.05379,0.000334434,0.000334434,0.000334434
22,71.2249,0.27,1,1,0.04443,0.000330306,0.000330306,0.000330306
23,74.671,0.23257,1,1,0.02661,0.000326177,0.000326177,0.000326177
24,78.1802,0.25673,1,1,0.02102,0.000322049,0.000322049,0.000322049
25,81.4495,0.19032,1,1,0.01508,0.000317921,0.000317921,0.000317921
26,84.8467,0.17272,1,1,0.01327,0.000313792,0.000313792,0.000313792
27,88.0348,0.18333,1,1,0.01266,0.000309664,0.000309664,0.000309664
28,91.2245,0.20512,1,1,0.01172,0.000305536,0.000305536,0.000305536
29,94.6693,0.13936,1,1,0.01045,0.000301408,0.000301408,0.000301408
30,97.7838,0.14715,1,1,0.00939,0.000297279,0.000297279,0.000297279
31,101.219,0.158,1,1,0.00785,0.000293151,0.000293151,0.000293151
32,104.407,0.12986,1,1,0.01095,0.000289023,0.000289023,0.000289023
33,107.597,0.0989,1,1,0.00614,0.000284894,0.000284894,0.000284894
34,110.938,0.14051,1,1,0.00492,0.000280766,0.000280766,0.000280766
35,114.091,0.10255,1,1,0.00511,0.000276638,0.000276638,0.000276638
36,117.312,0.11078,1,1,0.0059,0.000272509,0.000272509,0.000272509
37,120.584,0.08315,1,1,0.00439,0.000268381,0.000268381,0.000268381
38,124.106,0.10893,1,1,0.00395,0.000264253,0.000264253,0.000264253
39,127.294,0.14057,1,1,0.00543,0.000260125,0.000260125,0.000260125
40,130.693,0.06802,1,1,0.00386,0.000255996,0.000255996,0.000255996
41,133.775,0.0806,1,1,0.00356,0.000251868,0.000251868,0.000251868
42,136.964,0.08583,1,1,0.00437,0.00024774,0.00024774,0.00024774
43,140.25,0.07463,1,1,0.00301,0.000243611,0.000243611,0.000243611
44,144.654,0.05743,1,1,0.00495,0.000239483,0.000239483,0.000239483
45,150.456,0.07404,1,1,0.00313,0.000235355,0.000235355,0.000235355
46,154.933,0.05331,1,1,0.00322,0.000231226,0.000231226,0.000231226
47,159.34,0.07952,1,1,0.00534,0.000227098,0.000227098,0.000227098
48,163.719,0.06984,1,1,0.00254,0.00022297,0.00022297,0.00022297
49,167.014,0.0681,1,1,0.00245,0.000218842,0.000218842,0.000218842
50,170.654,0.10488,1,1,0.00303,0.000214713,0.000214713,0.000214713
