epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2,1.10582,5.38884,1.46936,0,0,0,0,0.61937,56.2365,1.30974,2.38e-05,2.38e-05,2.38e-05
2,73.1879,1.08072,4.66095,1.59395,0,0,0,0,0.62005,57.6865,1.25354,5.18416e-05,5.18416e-05,5.18416e-05
3,110.529,0.81814,4.78738,1.31634,0,0,0,0,0.60384,57.2626,1.22391,7.93178e-05,7.93178e-05,7.93178e-05
4,147.862,1.14975,4.67387,1.58998,0,0,0,0,0.60301,57.8308,1.20337,0.000106228,0.000106228,0.000106228
5,185.732,1.04601,4.39045,1.55782,0,0,0,0,0.59896,57.1097,1.18642,0.000132574,0.000132574,0.000132574
6,223.281,1.01943,4.40591,1.48518,0,0,0,0,0.50428,54.4589,1.07327,0.000158353,0.000158353,0.000158353
7,260.517,0.91883,4.27111,1.37393,0.00378,0.44444,0.00631,0.00505,0.69655,56.7742,1.24789,0.000183567,0.000183567,0.000183567
8,298.403,0.8499,4.20775,1.32889,0.00326,0.44444,0.00805,0.00589,0.98148,62.5461,1.52044,0.000208216,0.000208216,0.000208216
9,336.543,0.89997,4.35856,1.41441,0.00181,0.33333,0.00525,0.00425,1.36846,60.836,1.86086,0.000232299,0.000232299,0.000232299
10,374.142,1.40853,4.48263,1.84218,0.0014,0.33333,0.004,0.00314,1.03303,67.9651,1.56967,0.000255817,0.000255817,0.000255817
11,411.738,0.79768,4.65626,1.13606,0.0007,0.22222,0.00324,0.00238,0.81885,57.7649,1.39648,0.000278769,0.000278769,0.000278769
12,449.785,0.86426,3.84616,1.35947,0.00189,0.5,0.00702,0.00559,0.94407,57.1766,1.50042,0.000301156,0.000301156,0.000301156
13,487.211,0.83745,3.77661,1.34921,0.00169,0.61111,0.02625,0.01923,0.94044,57.8307,1.51382,0.000322977,0.000322977,0.000322977
14,526.072,0.83943,4.38089,1.16021,0.00191,0.61111,0.02296,0.01855,0.96393,55.2975,1.62724,0.000344233,0.000344233,0.000344233
15,563.48,0.90938,3.59276,1.3391,0.00214,0.61111,0.01716,0.01412,0.93576,55.5845,1.59379,0.000364923,0.000364923,0.000364923
16,600.918,0.64911,4.31409,1.05295,0.00196,0.66667,0.0172,0.0142,0.74942,58.6463,1.42086,0.000385048,0.000385048,0.000385048
