epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7611,1.3155,4.35404,1.67867,0,0,0,0,0.60516,46.654,1.2256,3.465e-05,3.465e-05,3.465e-05
2,109.745,1.12797,4.34802,1.56843,0,0,0,0,0.50262,46.3656,1.06589,7.24258e-05,7.24258e-05,7.24258e-05
3,160.738,1.05751,4.22518,1.4652,0,0,0,0,0.48026,46.2783,1.00474,0.000109439,0.000109439,0.000109439
4,213.218,0.96456,4.18104,1.42845,0.01235,0.31579,0.0372,0.02745,0.49704,46.3136,1.00401,0.000145691,0.000145691,0.000145691
5,264.591,0.94395,3.98479,1.35679,0.01265,0.72368,0.06357,0.04788,0.54063,46.3638,1.05035,0.000181179,0.000181179,0.000181179
6,315.711,0.92346,3.90931,1.38083,0.00801,0.77632,0.05496,0.04639,0.52001,46.4839,1.03569,0.000215906,0.000215906,0.000215906
7,366.678,0.93922,3.84928,1.34329,0.00565,0.75,0.06124,0.05288,0.53699,46.4993,1.03732,0.00024987,0.00024987,0.00024987
8,419.899,0.9084,3.67659,1.33818,0.2175,0.18421,0.05877,0.04737,0.62039,46.6676,1.12268,0.000283072,0.000283072,0.000283072
9,470.498,0.98445,3.76417,1.41733,0.92998,0.01754,0.05892,0.03794,0.65018,47.3902,1.21681,0.000315512,0.000315512,0.000315512
10,521.4,0.95774,3.53899,1.36232,0.33762,0.2193,0.05466,0.04148,0.64584,48.4618,1.18718,0.00034719,0.00034719,0.00034719
11,572.558,0.98127,3.53701,1.38974,0.3289,0.17544,0.06304,0.04926,0.63277,49.9971,1.19038,0.000346885,0.000346885,0.000346885
12,623.717,0.92468,3.43179,1.35503,0.29364,0.11892,0.06976,0.05538,0.65348,50.5727,1.15381,0.000343074,0.000343074,0.000343074
13,675.821,0.94941,3.54641,1.33864,0.17699,0.14912,0.06653,0.05223,0.64661,48.8043,1.09969,0.000339262,0.000339262,0.000339262
14,727.091,0.92048,3.39628,1.35674,0.12649,0.12348,0.08556,0.05883,0.61683,46.1394,1.06845,0.00033545,0.00033545,0.00033545
15,778.522,0.84155,3.26384,1.30592,0.20617,0.2411,0.10065,0.08305,0.59122,47.9948,1.0251,0.000331639,0.000331639,0.000331639
16,835.713,0.89977,3.35352,1.31222,0.02718,0.13158,0.06092,0.04682,0.5685,49.3896,1.01975,0.000327827,0.000327827,0.000327827
17,893.339,0.82143,3.23704,1.31994,0.03958,0.28653,0.09627,0.0767,0.58163,49.2816,1.02687,0.000324016,0.000324016,0.000324016
18,951.198,0.86879,3.31318,1.36707,0.16131,0.17982,0.11116,0.09628,0.50296,50.636,0.93501,0.000320204,0.000320204,0.000320204
19,1008.84,0.89044,3.09073,1.30706,0.05366,0.32105,0.11495,0.0973,0.50915,48.9993,0.95525,0.000316393,0.000316393,0.000316393
20,1059.99,0.85347,3.09365,1.34102,0.08382,0.26181,0.13768,0.11105,0.55618,55.2601,0.98063,0.000312581,0.000312581,0.000312581
21,1111.1,0.88834,2.99343,1.31739,0.09728,0.35526,0.18404,0.13874,0.55425,58.9302,0.98419,0.00030877,0.00030877,0.00030877
22,1162.34,0.88165,3.07746,1.33758,0.40292,0.14912,0.18985,0.14354,0.58671,74.0683,1.02002,0.000304958,0.000304958,0.000304958
23,1213.28,0.82878,2.92401,1.26215,0.15317,0.27275,0.21366,0.16229,0.53227,73.1046,0.97499,0.000301147,0.000301147,0.000301147
24,1264.61,0.90367,3.0043,1.3317,0.16497,0.2193,0.1252,0.10123,0.56909,58.2039,1.02211,0.000297335,0.000297335,0.000297335
25,1315.7,0.86306,2.95302,1.28427,0.2212,0.16667,0.14103,0.11844,0.5753,57.9901,1.0238,0.000293524,0.000293524,0.000293524
26,1366.14,0.76601,2.85844,1.2086,0.29336,0.21243,0.174,0.15288,0.51374,62.8288,0.96619,0.000289712,0.000289712,0.000289712
27,1416.1,0.81186,2.83789,1.2593,0.24595,0.21092,0.17964,0.15973,0.49534,54.0307,0.9704,0.000285901,0.000285901,0.000285901
28,1466.73,0.7866,2.79182,1.24212,0.18273,0.16976,0.13548,0.12039,0.48764,50.6968,0.95836,0.000282089,0.000282089,0.000282089
29,1517.04,0.81044,2.79864,1.25279,0.23506,0.17399,0.13482,0.12694,0.4818,54.3998,0.94576,0.000278278,0.000278278,0.000278278
30,1567.3,0.79296,2.7279,1.251,0.27369,0.20406,0.18813,0.17443,0.49121,60.8199,0.9442,0.000274466,0.000274466,0.000274466
31,1618.65,0.8385,2.73499,1.26029,0.72601,0.11404,0.17275,0.15815,0.51154,52.7317,0.93128,0.000270655,0.000270655,0.000270655
32,1669.88,0.79814,2.67874,1.23196,0.45221,0.16159,0.17176,0.15227,0.48676,47.9276,0.91554,0.000266843,0.000266843,0.000266843
33,1721.27,0.74622,2.55612,1.18444,0.40094,0.18112,0.18417,0.1691,0.48246,54.6231,0.93163,0.000263032,0.000263032,0.000263032
34,1772.48,0.81084,2.62509,1.24459,0.33053,0.27349,0.20063,0.18847,0.51329,61.2264,0.96141,0.00025922,0.00025922,0.00025922
35,1823.95,0.81609,2.67021,1.24877,0.37913,0.25049,0.23264,0.21316,0.5243,54.8228,0.96429,0.000255409,0.000255409,0.000255409
36,1875.83,0.78119,2.4692,1.20336,0.46331,0.18822,0.20438,0.19226,0.45925,47.2259,0.89467,0.000251597,0.000251597,0.000251597
37,1926.67,0.75714,2.49577,1.1923,0.10053,0.24561,0.18229,0.16875,0.44356,48.4617,0.88825,0.000247786,0.000247786,0.000247786
38,1977.19,0.73198,2.49345,1.18856,0.18497,0.28947,0.15289,0.14298,0.43906,52.2589,0.88242,0.000243974,0.000243974,0.000243974
39,2028.22,0.81071,2.43747,1.26195,0.14665,0.33237,0.15542,0.13961,0.46448,52.7504,0.91571,0.000240163,0.000240163,0.000240163
40,2079.34,0.73668,2.49616,1.189,0.24793,0.23684,0.21694,0.19415,0.48987,50.046,0.95004,0.000236351,0.000236351,0.000236351
41,2130.6,0.72332,2.37595,1.14805,0.08664,0.37093,0.22401,0.2008,0.44093,50.1039,0.90953,0.00023254,0.00023254,0.00023254
42,2183.43,0.72564,2.36114,1.19321,0.16574,0.30991,0.19977,0.18354,0.43897,53.9878,0.90961,0.000228729,0.000228729,0.000228729
43,2237.74,0.73384,2.32833,1.2001,0.17321,0.346,0.1954,0.17918,0.41575,51.9011,0.89104,0.000224917,0.000224917,0.000224917
44,2291.75,0.74204,2.35909,1.20374,0.17901,0.36842,0.18113,0.16857,0.4272,47.12,0.88222,0.000221106,0.000221106,0.000221106
45,2345.68,0.74223,2.31062,1.19202,0.20017,0.36842,0.20171,0.19184,0.41663,43.8309,0.87248,0.000217294,0.000217294,0.000217294
46,2396.99,0.74104,2.32566,1.19946,0.41191,0.28818,0.28496,0.26572,0.41711,45.9064,0.86933,0.000213482,0.000213482,0.000213482
47,2448.35,0.68293,2.14841,1.15306,0.47298,0.24218,0.24883,0.23757,0.39277,47.6624,0.85509,0.000209671,0.000209671,0.000209671
